대학(볼드체 단과대),종류,링크,비고,,,,
성균관대 ,성균관대,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=list&&articleLimit=10&article.offset=0,,,,,
학부대학,학부,https://hakbu.skku.edu/hakbu/community/under_notice.do,,,,,
단과대,통합,https://hakbu.skku.edu/hakbu/community/total_notice.do,단과대 통합공지 동일,,,,
유학대학,학부,https://scos.skku.edu/scos/community/under_notice.do,,,,,
유학대학,대학원,https://scos.skku.edu/scos/community/grade_notice.do,,,,,
유학동양학과,-,X,유학대학과 동일,,,,
문과대학,학부,https://liberalarts.skku.edu/liberal/community/under_notice.do,,,,,
문과대학,대학원,https://liberalarts.skku.edu/liberal/community/grade_notice.do,,,,,
국어국문학과,학부,https://skb.skku.edu/korean/community/under_notice.do,,,,,
국어국문학과,대학원,https://skb.skku.edu/korean/community/grad_notice.do,,,,,
국어국문학과,BK21 교육연구단,https://skb.skku.edu/korean/community/bk_notice.do,,,,,
영어영문학과,학부,https://skb.skku.edu/english/notice.do,,,,,
영어영문학과,대학원,https://skb.skku.edu/english/notice_grad.do,,,,,
프랑스어문학과,학부,https://skb.skku.edu/french/community/notice.do,,,,,
프랑스어문학과,대학원,https://skb.skku.edu/french/community/grad_notice.do,,,,,
중어중문학과,학부,https://skb.skku.edu/chinese/undergraduate_notice.do,,,,,
중어중문학과,대학원,https://skb.skku.edu/chinese/graduate_notice.do,,,,,
독어독문학과,공지사항,https://skb.skku.edu/german/04_Community/notice.do,,,,,
러시아어문학과,공지사항,https://russian.skku.edu/russian/deptnews.do,,,,,
러시아어문학과,채용/모집정보,https://russian.skku.edu/russian/job_information.do,,,,,
한문학과,학부,https://skb.skku.edu/klcc/community/under_notice.do,,,,,
한문학과,대학원,https://skb.skku.edu/klcc/community/grad_notice.do,,,,,
한문학과,BK21 교육연구팀,https://skb.skku.edu/klcc/community/community.do,,,,,
사학과,학부,https://history.skku.edu/history/community/under_notice.do,,,,,
사학과,대학원,https://history.skku.edu/history/community/grad_notice.do,,,,,
철학과,학부,https://skb.skku.edu/philosophy/community/under_notice.do,,,,,
철학과,대학원,https://skb.skku.edu/philosophy/community/grad_notice.do,,,,,
문헌정보학,학부,https://lis.skku.edu/lis/community/under_notice.do,,,,,
문헌정보학,대학원,https://lis.skku.edu/lis/community/grad_notice.do,,,,,
사회과학대학,학부,https://sscience.skku.edu/sscience/community/under_notice.do,,,,,
사회과학대학,대학원,https://sscience.skku.edu/sscience/community/grade_notice.do,,,,,
행정학과,행정학과,https://gsg.skku.edu/gsg/board/notice.do,,,,,
행정학과,국정전문대학원,https://gsg.skku.edu/gsg/board/notice_gov.do,,,,,
행정학과,통합공지,https://gsg.skku.edu/gsg/board/total_notice.do,단과대와 다름,,,,
행정학과,자료실,https://gsg.skku.edu/gsg/board/data.do,,,,,
정치외교학과,학부,https://skb.skku.edu/psd/notice.do,,,,,
정치외교학과,대학원,https://skb.skku.edu/psd/notice_grad.do,,,,,
미디어커뮤니케이션학과,학부 공지사항,https://mediacomm.skku.edu/mediacomm/community/notice.do,,,,,
미디어커뮤니케이션학과,대학원 공지시항,https://mediacomm.skku.edu/mediacomm/community/notice_grad.do,,,,,
사회학과,공지사항,https://soc.skku.edu/soc/notice.do,학부 대학원 통합 운영,,,,
사회복지학과,공지사항,https://skb.skku.edu/welfare/community/notice.do,학부 대학원 통합 운영,,,,
심리학과,학부,https://psych.skku.edu/psy/notice_undergraduate.do,,,,,
심리학과,대학원,https://psych.skku.edu/psy/notice_graduate.do,,,,,
소비자학과,공지,https://cf.skku.edu/skkucf/community/notice.do,학부 대학원 통합 운영,,,,
아동청소년학과,학부,https://skb.skku.edu/child/notice.do,,,,,
아동청소년학과,대학원,https://skb.skku.edu/child/notice2.do,,,,,
글로벌리더학부,공지사항,https://gld.skku.edu/gld/community/notice.do,,,,,
경제대학,경제대학 통합공지,https://ecostat.skku.edu/ecostat/notice_total.do,,,,,
경제대학,학부,https://ecostat.skku.edu/ecostat/notice_under.do,,,,,
경제대학,대학원,https://ecostat.skku.edu/ecostat/notice_grad.do,,,,,
경제학과,-,X,경제대학과 동일,,,,
통계학과,학부,https://stat.skku.edu/stat/community/under_notice.do,,,,,
통계학과,대학원,https://stat.skku.edu/stat/community/grad_notice.do,,,,,
통계학과,취업/채용,https://stat.skku.edu/stat/jobopening.do,,,,,
글로벌경제학과,Notice,https://globalecon.skku.edu/gecon/notice.do,,,,,
경영대학,학부,https://biz.skku.edu/bizskk/notice.do,,,,,
경영대학,대학원,https://biz.skku.edu/bizskk/notice_grad.do,,,,,
경영대학,W-AMP,https://biz.skku.edu/bizskk/notice_wamp.do,,,,,
경영학과,공지사항,https://skb.skku.edu/bus/notice.do,,,,,
글로벌경영학과,공지사항,https://globalbiz.skku.edu/gba/notice.do,,,,,
사범대학,학부,https://coe.skku.edu/coe/community/under_notice.do,,,,,
사범대학,대학원,https://coe.skku.edu/coe/community/grade_notice.do,,,,,
교육학과,학부,https://skb.skku.edu/skku-edu/community/under_notice.do,,,,,
교육학과,대학원,https://skb.skku.edu/skku-edu/community/grad_notice.do,,,,,
한문교육과,공지사항,https://skb.skku.edu/klccedu/community/notice.do,,,,,
수학교육과,공지사항,https://skb.skku.edu/mathedu/notice.do,,,,,
컴퓨터교육과,학부,https://comedu.skku.edu/comedu/notice.do,,,,,
컴퓨터교육과,대학원,https://comedu.skku.edu/comedu/notice_grad.do,,,,,
예술대학,학부,https://art.skku.edu/art/notice.do,,,,,
예술대학,대학원,https://art.skku.edu/art/notice_grade.do,,,,,
미술학과,-,X,예술대학과 동일,,,,
